Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
42,SM-I-s-B-05175,Aşezare fortificată,sat CĂPLENI; comuna CĂPLENI,"""La Cetate”","Epoca bronzului, Cultura Otomani"
43,SM-I-s-B-05176,"Situl arheologic de la Căuaş, punct ""La Sighetiu”",sat CĂUAŞ; comuna CĂUAŞ,”La Sighetiu”,
44,SM-I-m-B-05176.01,Aşezare,sat CĂUAŞ; comuna CĂUAŞ,"""La Sighetiu”",Hallstatt
45,SM-I-m-B-05176.02,Aşezare,sat CĂUAŞ; comuna CĂUAŞ,"""La Sighetiu”",Epoca bronzului
46,SM-I-s-A-05177,Aşezare fortificată,sat CHEGEA; comuna SĂCĂŞENI,"""La Cetate”",Epoca bronzului
47,SM-I-s-B-05178,Aşezare fortificată,sat CRUCIŞOR; comuna CRUCIŞOR,"""Dealu Pinţii”",Epoca medievală timpurie
48,SM-I-s-B-05179,"Aşezare Mic, punct ""La gropi de",sat CULCIU MARE; comuna CULCIU siloz” comuna CULCIU,"""Sub grădini”","Epoca bronzului, Cultura Suciu de Sus"
50,SM-I-m-B-05180.01,Aşezare,sat CULCIU MIC; comuna CULCIU,"""La gropi de siloz”",sec. VIII - IX
51,SM-I-m-B-05180.02,Aşezare,sat CULCIU MIC; comuna CULCIU,"""La gropi de siloz”",sec. II - IV p. Chr.
52,SM-I-m-B-05180.03,Aşezare,sat CULCIU MIC; comuna CULCIU,"""La gropi de siloz”",Epoca bronzului
53,SM-I-s-B-05181,Aşezare fortificată,sat DINDEŞTI; comuna ANDRID,"""La Cetate”","Epoca bronzului, Cultura Otomani"
54,SM-I-s-B-05182,"Situl arheologic de la Dumbrava, punct ""La Cosma”",sat DUMBRAVA; comuna LIVADA,"""La Cosma”",
55,SM-I-m-B-05182.01,Aşezare,sat DUMBRAVA; comuna LIVADA,"""La Cosma”",Neolitic
56,SM-I-m-B-05182.02,Aşezare,sat DUMBRAVA; comuna LIVADA,"""La Cosma”","Eneolitic, Cultura Tiszapolgár"
57,SM-I-s-A-05188,"Situl arheologic de la Dumbrava, punct ""La Leşu”",sat DUMBRAVA; comuna MEDIEŞU AURIT,"""La Leşu”",sec. II - IV p. Chr.
58,SM-I-s-A-05188.01,"Situl arheologic de la Dumbrava, punct ""La Leşu”",sat DUMBRAVA; comuna MEDIEŞU AURIT,"""La Leşu”",sec. II - IV p. Chr.
59,SM-I-s-A-05188.02,"Situl arheologic de la Dumbrava, punct ""La Leşu”",sat DUMBRAVA; comuna MEDIEŞU AURIT,"""La Leşu”",sec. II - IV p. Chr.
60,SM-I-m-A-05188.03,"Necropola aşezării punct ""Nisipăria veche""",sat DUMBRAVA; comuna MEDIEŞU AURIT comuna FOIENI,"""La Leşu”",sec. II - IV p. Chr.
62,SM-I-m-B-05183.01,Aşezare,sat FOIENI; comuna FOIENI,"""Nisipăria veche”",Epoca medievală timpurie
63,SM-I-m-B-05183.02,Aşezare,sat FOIENI; comuna FOIENI,"""Nisipăria veche”",Hallstatt
64,SM-I-m-B-05183.03,Aşezare,sat FOIENI; comuna FOIENI,"""Nisipăria veche”",Eneolitic
65,SM-I-s-B-05184,Câmp de tumuli,sat HODOD; comuna HODOD,"Extravilan, la un 1 km S de sat",Hallstatt
66,SM-I-s-A-05185,Situl arheologic de la Lazuri,sat LAZURI; comuna LAZURI,"La 3,5 km sud-est de centrul satului",
67,SM-I-m-B-05185.01,Aşezare,sat LAZURI; comuna LAZURI,"La 3,5 km sud-est de centrul satului",sec. VIII - IX
68,SM-I-m-A-05185.02,Zonă de cuptoare ars ceramică,sat LAZURI; comuna LAZURI,"La 3,5 km sud-est de centrul satului",sec. II - IV p. Chr.
69,SM-I-m-A-05185.03,Aşezare,sat LAZURI; comuna LAZURI,"La 3,5 km sud-est de centrul satului",sec. II - IV p. Chr.
70,SM-I-s-A-05186,"Aşezarea fortificată de la Lucăceni, punct ”Pe deal”",sat LUCĂCENI; comuna BERVENI,”Pe deal”,
71,SM-I-m-A-05186.01,Aşezare fortificată,sat LUCĂCENI; comuna BERVENI,"""Pe deal”","sec. XIII - XIV, Epoca medievală"
72,SM-I-m-A-05186.02,Aşezare fortificată,sat LUCĂCENI; comuna BERVENI,"""Pe deal”",sec. II - III p. Chr.
73,SM-I-m-A-05186.03,Aşezare fortificată,sat LUCĂCENI; comuna BERVENI AURIT; comuna,"""Pe deal”",Epoca bronzului
75,SM-I-m-B-05187.01,Aşezare fortificată cu zid incintă din piatră,de sat MEDIEŞU AURIT; comuna MEDIEŞU AURIT,,"sec. XIII - XIV, Epoca medievală"
76,SM-I-m-B-05187.02,Aşezare fortificată cu val pământ,de sat MEDIEŞU AURIT; comuna MEDIEŞU AURIT,,sec. IX - X
77,SM-I-s-A-05331,Ansamblul bisericii romano catolice Medieşu Aurit,- sat MEDIEŞU AURIT; comuna MEDIEŞU AURIT,Str. Principală 537,sec. XV
78,SM-I-m-A-05331.01,Fundaţiile bisericii romano catolice,- sat MEDIEŞU AURIT; comuna MEDIEŞU AURIT,Str. Principală 537,sec. XVI
79,SM-I-m-A-05331.02,Criptă,sat MEDIEŞU AURIT; comuna MEDIEŞU AURIT,Str. Principală 538,sec. XVI - XVII
80,SM-I-s-A-05189,"Situl arheologic de la Pir, punct ""S-E centru""",sat PIR; comuna PIR,La sud-est de centrul localităţii,
81,SM-I-m-A-05189.01,Aşezare fortificată,sat PIR; comuna PIR,La sud-est de centrul localităţii,"Epoca bronzului, Cultura Otomani"
82,SM-I-m-A-05189.02,Necropolă,sat PIR; comuna PIR,La sud-est de centrul localităţii,"Epoca bronzului, Cultura Otomani"
83,SM-I-s-A-05190,"Situl arheologic de la Pişcolţ, punct ""Nisipărie”",sat PIŞCOLT; comuna PIŞCOLT,"""Nisipărie”",sec.IV - III a. Chr.
84,SM-I-m-A-05190.01,Aşezare,sat PIŞCOLT; comuna PIŞCOLT,"""Nisipărie”",sec.IV - III a. Chr.
85,SM-I-m-A-05190.02,Necropolă,sat PIŞCOLT; comuna PIŞCOLT comuna PIŞCOLT,"""Nisipărie”",sec.IV - III a. Chr.
87,SM-I-s-B-05192,Aşezare fortificată,sat POTĂU; comuna MEDIEŞU AURIT,"""La Ciuncaş”","Epoca bronzului, Cultura Otomani"
88,SM-I-s-A-05193,"Situl arheologic de la Remetea Oaşului, punct ""Malu Turului”",sat REMETEA OAŞULUI; comuna ORAŞU NOU,"""Malu Turului”",
89,SM-I-m-A-05193.01,Aşezare,sat REMETEA OAŞULUI; comuna ORAŞU NOU,"""Malu Turului”",Paleolitic (gravettian)
90,SM-I-m-A-05193.02,Aşezare,sat REMETEA OAŞULUI; comuna ORAŞU NOU,"""Malu Turului”",Paleolitic (aurignacian)
91,SM-I-m-A-05193.03,Aşezare,sat REMETEA OAŞULUI; comuna ORAŞU NOU,"""Malu Turului”",Paleolitic (musterian)
92,SM-I-s-B-05194,"Situl arheologic de la Sanislău, punct 1",sat SANISLĂU; comuna SANISLĂU,În grădina fostului SMA,
93,SM-I-m-B-05194.01,Aşezare,sat SANISLĂU; comuna SANISLĂU,În grădina fostului SMA,sec.VIII - IX
94,SM-I-m-B-05194.02,Aşezare,sat SANISLĂU; comuna SANISLĂU,În grădina fostului SMA,"Epoca bronzului, Cultura Baden"
95,SM-I-m-B-05194.03,Aşezare,oraş SANISLĂU,În grădina fostului SMA,Epoca neolitică
96,SM-I-s-B-05195,"Situl arheologic de la Săcăşeni, punct ""Cetate""",sat SĂCĂŞENI; comuna SĂCĂŞENI,La 3 km sud de biserica din Huta Chegii,
97,SM-I-m-B-05195.01,Aşezare fortificată,sat SĂCĂŞENI; comuna SĂCĂŞENI comuna SĂCĂŞENI,La 3 km sud de biserica din Huta Chegii Chegii,Epoca medievală timpurie
99,SM-I-s-B-05196,Fortificaţie cu zid de incintă din piatră,sat TĂMĂŞENI; comuna BATARCI,"Platoul ""Cetate (Varhegy)”",sec. XIII - XV
100,SM-I-s-B-05197,Aşezare,oraş TĂŞNAD,"""La Sere”","Neolitic, Cultura Starčevo- Criş"
101,SM-I-s-B-05198,"Situl arheologic de la Turulung, punct ”Dealu pustiu, Turulung""",sat TURULUNG; comuna TURULUNG,"”Dealu pustiu""",
102,SM-I-m-B-05198.01,Aşezare,sat TURULUNG; comuna TURULUNG,"”Dealu pustiu""",sec.VI - VII
103,SM-I-m-B-05198.02,Aşezare,sat TURULUNG; comuna TURULUNG,"”Dealu pustiu""",sec. II - III p. Chr.
104,SM-I-m-B-05198.03,Aşezare,sat TURULUNG; comuna TURULUNG,"”Dealu pustiu""",Neolitic
105,SM-I-s-B-05199,Aşezare,sat TURULUNG; comuna TURULUNG,"""Canton”",Epoca bronzului
106,SM-I-s-B-05200,"Situl arheologic de la Urziceni, punct ""Vade Ret”",sat URZICENI; comuna URZICENI,"""Vade Ret”",
107,SM-I-m-B-05200.01,Necropolă,sat URZICENI; comuna URZICENI,"""Vade Ret”",sec. XIII - XIV
108,SM-I-m-B-05200.02,Aşezare,sat URZICENI; comuna URZICENI,"""Vade Ret”",Perioada de tranziţie la epoca bronzului
109,SM-I-m-B-05200.03,Aşezare catolice,sat URZICENI; comuna URZICENI MARE,"""Vade Ret”","Neolitic 1858, 1892"
111,SM-II-m-B-05202,"Biserica ""Sf. Arhangheli Mihail şi Gavriil”",municipiul SATU MARE,Str. 1 Decembrie 1918 4,1932 - 1937
112,SM-II-m-B-05203,"Biserica - capelă ""Aurel","Popp"" municipiul SATU MARE",Str. Cimitirului 2,1935 - 1936
113,SM-II-m-B-05204,Spitalul de boli contagioase,municipiul SATU MARE,Str. Corvinilor 45,1879
114,SM-II-m-B-05205,Casa Muhi,municipiul SATU MARE,Str. Crasna 1,sec. XIX
115,SM-II-m-B-05206,Biblioteca judeţeană,municipiul SATU MARE,Str. Decebal 2,1886
116,SM-II-a-B-05207,Ansamblul sinagogii,municipiul SATU MARE,Str. Decebal 4-6,1889
117,SM-II-m-B-05207.01,Sinagogă,municipiul SATU MARE,Str. Decebal 4,1889
118,SM-II-m-B-05207.02,Casă de rugăciune,municipiul SATU MARE,Str. Decebal 6,1889
119,SM-II-m-B-05208,"Convictul episcopal, azi ""Unio” şi Liceul nr.7",Liceul municipiul SATU MARE,Str. Eminescu Mihai 1,"1842, adăugiri 1916"
120,SM-II-m-B-05209,"Biserica ""Calvaria”",municipiul SATU MARE,Str. Eminescu Mihai 3,1907 - 1909
121,SM-II-m-B-05210,"Colegiul ""Mihai Eminescu”",municipiul SATU MARE,Str. Eminescu Mihai 5,1912
122,SM-II-m-B-05211,"Spitalul călugăriţelor misericordiene, azi secţia psihiatrie a Spitaluilui",municipiul SATU MARE,Piaţa Eroilor Revoluţiei 2,1833 - 1838
123,SM-II-m-B-05212,Spitalul Lükö Béla,municipiul SATU MARE,Piaţa Eroilor Revoluţiei 3,înc. sec. XX
124,SM-II-m-B-05213,"Internatul Pázmany, azi Grădiniţa cultului catolic",municipiul SATU MARE,Str. Georgescu Gabriel 12,1909
125,SM-II-m-B-05215,Gara Satu Mare,municipiul SATU MARE,Str. Griviţa 1,1899
126,SM-II-m-B-05219,Casa Ormos,municipiul SATU MARE,Str. Horea 2,înc. sec. XIX
127,SM-II-m-B-05216,Teatrul de Nord,municipiul SATU MARE,Str. Horea 3,1889 - 1892
128,SM-II-m-B-05217,"Hotel Victoria, azi spaţii comerciale şi locuinţe",municipiul SATU MARE,Str. Horea 4,înc. sec. XX
129,SM-II-a-B-05218,"Ansamblul urban ""Strada Horea""",municipiul SATU MARE,"Str. Horea 4-10, 5-13",sec. XIX - XX
130,SM-II-a-A-05220,"Ansamblul urban ""Piaţa Libertăţii""",municipiul SATU MARE,"Piaţa Libertăţii, cu toate imobilele pe cele patru laturi","de sec. XVIII, XIX, XX"
131,SM-II-m-A-05221,Hotel Dacia,municipiul SATU MARE,Piaţa Libertăţii 8,1902
132,SM-II-m-B-05222,Casa Albă,municipiul SATU MARE,Piaţa Libertăţii 17,1911 - 1912
133,SM-II-m-B-05223,Casa breslei cizmarilor,municipiul SATU MARE,Piaţa Libertăţii 18,1830
134,SM-II-m-A-05224,"Casa Vécsey, azi Muzeul Artă ""Înălţarea Domnului""",de municipiul SATU MARE MARE,Piaţa Libertăţii 21,1798 - 1842
136,SM-II-m-B-05226,"Biserica ""Adormirea Maicii Domnului”",municipiul SATU MARE,Bd. Lucaciu Vasile Parc,1937 - 1938
137,SM-II-m-B-05227,Palatul CFR,municipiul SATU MARE,Bd. Lucaciu Vasile 1,1905
138,SM-II-a-B-05228,"Ansamblul urban ""Bulevardul Vasile Lucaciu""",municipiul SATU MARE,"Bd. Lucaciu Vasile 3-19 şi 23-29; 37,43-49; 57",sec.XIX - XX
139,SM-II-m-B-05229,Casa dr. Vasile Lucaciu,municipiul SATU MARE,Bd. Lucaciu Vasile 11,1902
140,SM-II-m-B-05230,"Vechea Prefectură, azi Muzeul Judeţean Satu Mare",municipiul SATU MARE,Bd. Lucaciu Vasile 21,1936
141,SM-II-m-B-05231,Farmacia nr. 7,municipiul SATU MARE,Str. Maniu Iuliu 1,1895
142,SM-II-m-B-05232,"Farmacia Tabajdi, azi Farmacia nr. 5",municipiul SATU MARE,Str. Micu Klein Samuel 4,1901 - 1911
143,SM-II-m-A-05233,Turnul Pompierilor,municipiul SATU MARE,Str. Mihai Viteazul 1,1903 - 1904
