Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
16,GL-I-s-A-02975,Valul lui Atanaric,,"Capătul de E în lunca Prutului, de teritoriul com. Stoicani până în dreptul localităţilor Brăhăşeşti - Toflea, pe malul stâng al Siretului, partea de NV a judeţului Galaţi",pe sec. II - IV p. Chr. în
17,GL-I-s-B-02976,Situl arheologic de la Barcea,sat BARCEA; comuna BARCEA,"Şos. Tecuci-Galaţi, ""Grădina de zarzavat”, la 500 m V de şoseaua",
18,GL-I-m-B-02976.01,Aşezare,sat BARCEA; comuna BARCEA,"Şos. Tecuci-Galaţi, ""Grădina de zarzavat”, la 500 m V de şoseaua Tecuci-Galaţi","sec. IV p. Chr., Epoca migraţiilor, Cultura Sântana de Mureş - Cerneahov"
19,GL-I-m-B-02976.02,Necropolă,sat BARCEA; comuna BARCEA,"Şos. Tecuci-Galaţi, ""Grădina de zarzavat”, la 500 m V de şoseaua Tecuci-Galaţi","sec. IV p. Chr., Epoca migraţiilor, Cultura Sântana de Mureş - Cerneahov"
20,GL-I-m-A-02975.01,Valul lui Atanaric,sat BĂLENI; comuna BĂLENI,,sec. II - IV p. Chr.
21,GL-I-s-B-02977,Situl arheologic de la Băneasa,sat BĂNEASA; comuna BĂNEASA,La confluenţa pâraielor Chineja Băneasa,şi
22,GL-I-m-B-02977.01,Aşezare,sat BĂNEASA; comuna BĂNEASA,La confluenţa pâraielor Chineja Băneasa,şi sec. X - XII
23,GL-I-m-B-02977.02,Aşezare,sat BĂNEASA; comuna BĂNEASA,La confluenţa pâraielor Chineja Băneasa,"şi sec. IV p. Chr., Epoca migraţiilor"
24,GL-I-m-B-02977.03,Aşezare,sat BĂNEASA; comuna BĂNEASA,La confluenţa pâraielor Chineja Băneasa,"şi sec. II p. Chr., Hallstatt"
25,GL-I-m-B-02977.04,Aşezare,sat BĂNEASA; comuna BĂNEASA,La confluenţa pâraielor Chineja Băneasa,"şi sec. XIII - XII a. Chr., Epoca bronzului târziu, Cultura Noua"
26,GL-I-m-B-02977.05,Aşezare,sat BĂNEASA; comuna BĂNEASA,"La confluenţa pâraielor Chineja Băneasa Bereşti-Pleşa-Bârlad, la NV de oraş","şi mil. IV a. Chr., Eneolitic, Cultura Gumelniţa, aspectul Stoicani - Aldeni Neolitic, Cultura"
28,GL-I-s-B-02979,"Situl arheologic de la Bereşti, punct ""La Bâzan""",oraş BEREŞTI,"""La Bâzan”, la 2 km V de oraş",
29,GL-I-m-B-02979.01,Aşezare,oraş BEREŞTI,"""La Bâzan”, la 2 km V de oraş",sec. XV - XVI
30,GL-I-m-B-02979.02,Aşezare,oraş BEREŞTI,"""La Bâzan”, la 2 km V de oraş","sec. IV p. Chr., Epoca migraţiilor"
31,GL-I-m-B-02979.03,Aşezare,oraş BEREŞTI,"""La Bâzan”, la 2 km V de oraş","mil. IV a. Chr., Eneolitic, Cultura Cucuteni"
32,GL-I-s-B-02980,"Situl arheologic de la Bereşti, punct ""Dealul Taberei”",oraş BEREŞTI,"""Dealul Taberei”, lângă pădurea Pleşa, la 3 km NV de oraş",
33,GL-I-m-B-02980.01,Aşezare,oraş BEREŞTI,"""Dealul Taberei”, lângă pădurea Pleşa, la 3 km NV de oraş",Epipaleolitic
34,GL-I-m-B-02980.02,Aşezare,oraş BEREŞTI,"""Dealul Taberei”, lângă pădurea Pleşa, la 3 km NV de oraş","10000 - 5000 a. Chr., Paleolitic"
35,GL-I-m-A-02975.02,Valul lui Atanaric,sat BUCIUMENI; comuna BUCIUMENI,,"sec. II - IV p. Chr., Epoca migraţiilor"
36,GL-I-s-B-02981,"Situl arheologic de la Cavadineşti, punct ""Râpa Glodului”",sat CAVADINEŞTI; comuna CAVADINEŞTI,"""Râpa Glodului”, la 4 km SV de sat",
37,GL-I-m-B-02981.01,Aşezare daco-romană,sat CAVADINEŞTI; comuna CAVADINEŞTI,"""Râpa Glodului”, la 4 km SV de sat","sec. IV - III a. Chr., Latène"
38,GL-I-m-B-02981.02,Aşezare,sat CAVADINEŞTI; comuna CAVADINEŞTI,"""Râpa Glodului”, la 4 km SV de sat","sec. XIII - XII a. Chr., Epoca bronzului târziu, cultura Noua, Cultura"
39,GL-I-s-B-02982,Fortificaţia de la Căuieşti,sat CĂUIEŞTI; comuna DRĂGUŞENI,"""Cetăţuia”, la 500 m SE de sat","sec. IV - III a. Chr., Latène"
40,GL-I-m-A-02974.01,Valul lui Traian,sat CIŞMELE; comuna SMÂRDAN,,"sec. II - III p. Chr., Epoca romană"
41,GL-I-m-A-02975.04,Valul lui Atanaric,sat COROD; comuna COROD,,"sec. II - IV p. Chr., Epoca migraţiilor"
42,GL-I-s-B-02983,"Cetatea de pământ de la Cosiţeni, punct ""Cetăţuia”",sat COSIŢENI; comuna BRĂHĂŞEŞTI,"""Cetăţuia”, la confluenţa văilor Zeletin şi Berheci, la 300 m N de şoseaua Gohor-Brăhăşeşti","sec. IV - III a. Chr., Latène, Cultura geto - dacică"
43,GL-I-m-A-02975.05,Valul lui Atanaric,sat CUCA; comuna CUCA,,"sec. II - IV p. Chr., Epoca migraţiilor"
44,GL-I-m-A-02975.06,Valul lui Atanaric,sat CUDALBI; comuna CUDALBI,,"sec. II - IV p. Chr., Epoca migraţiilor"
45,GL-I-m-A-02975.07,Valul lui Atanaric,sat FÂNTÂNELE; comuna SCÂNTEIEŞTI,,"sec. II - IV p. Chr., Epoca migraţiilor"
46,GL-I-s-A-02984,Aşezare,sat FOLTEŞTI; comuna FOLTEŞTI,"""La Ruptură”, în terasa Prutului, 1,5 km S de sat","la 2500 - 1800 a. Chr., Epoca bronzului timpuriu, Cultura Horodiştea - Folteşti"
47,GL-I-s-B-02985,Aşezare,sat GÂRBOVĂŢ; comuna GHIDIGENI,"""La Zahareasca”, la 1,5 km SE de","sat sec. XIII - XII a. Chr., Epoca bronzului târziu, Cultura Noua"
48,GL-I-s-B-02986,Situl arheologic de la Ijdileni,sat IJDILENI; comuna FRUMUŞIŢA,,
49,GL-I-m-B-02986.01,Aşezare,sat IJDILENI; comuna FRUMUŞIŢA FRUMUŞIŢA,La 200 m S de sediul CAP Ijdileni,"sec. XIV - XVII, Epoca medievală medievală timpurie"
51,GL-I-m-B-02986.03,Aşezare,sat IJDILENI; comuna FRUMUŞIŢA,La 200 m S de sediul CAP Ijdileni,"sec. IV p. Chr., Epoca migraţiilor"
52,GL-I-m-B-02986.04,Aşezare,sat IJDILENI; comuna FRUMUŞIŢA,La 200 m S de sediul CAP Ijdileni,"sec. XI - X a. Chr., Hallstatt"
53,GL-I-s-B-02987,Necropolă,sat LUNCA; comuna JORĂŞTI,"""Râpa cu oale” (""Râpa Grozeşti”), 300 m N de sat","la sec. IV p. Chr., Epoca migraţiilor, Cultura Sântana de Mureş - Cerneahov"
54,GL-I-m-A-02975.08,Valul lui Atanaric,sat MATCA; comuna MATCA,,"sec. II - IV p. Chr., Epoca migraţiilor"
55,GL-I-m-A-02975.09,Valul lui Atanaric,sat MĂCIŞENI; comuna CORNI,,"sec. II - IV p. Chr., Epoca migraţiilor"
56,GL-I-m-A-02975.15,Valul lui Atanaric,sat MUNTENI; comuna MUNTENI,,"sec. II - IV p. Chr., Epoca migraţiilor"
57,GL-I-s-B-02988,Situl arheologic de la Negrileşti,sat NEGRILEŞTI; comuna NEGRILEŞTI,În curtea şcolii generale Negrileşti,
58, GL-I-m-B-02988.01, Aşezare, sat NEGRILEŞTI; comuna NEGRILEŞTI, În curtea şcolii generale Negrileşti," sec. XVI, Epoca medievală"
59,GL-I-m-B-02988.02,Aşezare,sat NEGRILEŞTI; comuna NEGRILEŞTI,În curtea şcolii generale Negrileşti,"sec. IV p. Chr., Epoca romană"
60,GL-I-m-B-02988.03,Aşezare,sat NEGRILEŞTI; comuna NEGRILEŞTI,În curtea şcolii generale Negrileşti,"Epoca bronzului târziu, Cultura Noua"
61,GL-I-m-B-02988.04,Aşezare,sat NEGRILEŞTI; comuna NEGRILEŞTI,În curtea şcolii generale Negrileşti,"mil. IV a. Chr., Eneolitic, Cultura Gumelniţa, aspectul Stoicani -"
62,GL-I-m-A-02974.02,Valul lui Traian,sat ODAIA MANOLACHE; comuna TULUCEŞTI,,"sec. II - III p. Chr., Epoca romană"
63,GL-I-m-A-02975.10,Valul lui Atanaric,sat PLEVNA; comuna REDIU,,"sec. II - IV p. Chr., Epoca migraţiilor"
64,GL-I-s-A-02989,"Situl arheologic de la Poiana, punct ""Piroboridava""",sat POIANA; comuna POIANA,"""Cetăţuia de la mal”, ""Piroboridava”",
65,GL-I-m-A-02989.01,Aşezare fortificată,sat POIANA; comuna POIANA,"""Cetăţuia de la mal”, ""Piroboridava”","sec. I - II p. Chr., Epoca romană"
66,GL-I-m-A-02989.02,Aşezarea fortificată Piroboridava,sat POIANA; comuna POIANA,"""Cetăţuia de la mal”, ""Piroboridava”","sec. IV a. Chr. - I p. Chr., Latène, Cultura geto - dacică"
67,GL-I-m-A-02989.03,Aşezare fortificată,sat POIANA; comuna POIANA,"""Cetăţuia de la mal”, ""Piroboridava”","Hallstatt, Cultura Basarabi"
68,GL-I-m-A-02989.04,Aşezare fortificată,sat POIANA; comuna POIANA,"""Cetăţuia de la mal”, ""Piroboridava”","1600 a. Chr, Epoca bronzului"
69, GL-I-s-B-02990," Situl arheologic de la Puricani, punct ""Poarta Bâzanului”", sat PURICANI; comuna BEREŞTI-MERIA," ""Poarta Bâzanului”, la 2 km V de", sat
70,GL-I-m-B-02990.01,Aşezare,sat PURICANI; comuna BEREŞTI-MERIA,"""Poarta Bâzanului”, la 2 km V de","sat sec. XI - X a. Chr., Hallstatt"
71,GL-I-m-B-02990.02,Aşezare,sat PURICANI; comuna BEREŞTI-MERIA,"""Poarta Bâzanului”, la 2 km V de","sat 10000 a. Chr., Paleolitic"
72,GL-I-m-A-02975.11,Valul lui Atanaric,sat SCÂNTEIEŞTI; comuna SCÂNTEIEŞTI FOLTEŞTI,,"sec. II - IV p. Chr., Epoca migraţiilor migraţiilor"
74,GL-I-s-A-02991,Necropolă,sat STOICANI; comuna FOLTEŞTI,"""Dealul de pe Râpă”, în vatra satului, la 150 m V de ""Cetăţuia""","sec. XI - X a. Chr., Hallstatt"
75,GL-I-s-A-02992,"Situl arheologic de la Stoicani, punct ""Cetăţuia""",sat STOICANI; comuna FOLTEŞTI,"""Cetăţuia”, la marginea de E a satului, 100 m V de halta CFR Stoicani",
76,GL-I-m-A-02992.01,Necropolă,sat STOICANI; comuna FOLTEŞTI,"""Cetăţuia”, la marginea de E a satului, 100 m V de halta CFR Stoicani","1800 - 800 a. Chr., Epoca bronzului"
77,GL-I-m-A-02992.02,Aşezare,sat STOICANI; comuna FOLTEŞTI,"""Cetăţuia”, la marginea de E a satului, 100 m V de halta CFR Stoicani",Neolitic
78,GL-I-s-B-02993,Aşezare,sat SUCEVENI; comuna SUCEVENI,La 2 km E de sat,"mil. IV a. Chr., Eneolitic târziu, Cultura Gumelniţa, aspectul Stoicani - Aldeni"
79,GL-I-m-A-02975.13,Valul lui Atanaric,sat SUHURLUI; comuna SUHURLUI,,"sec. II - IV p. Chr., Epoca migraţiilor"
